gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000075218.18,71.3115,90.877,11.1144,96.0527,5.23183
ENSG00000280384.1,68.7396,54.9498,2.82579,66.1438,2.06299
ENSG00000186951.16,1308.15,1353.31,115.729,1281.54,179.793
ENSG00000280424.1,39.4129,33.5684,2.08506,78.2098,1.00064
ENSG00000188064.9,52.9391,24.8296,97.3165,47.8253,37.1208
ENSG00000128408.8,21.0,83.0,4.0,23.0,9.0
ENSG00000100376.11,533.414,1530.48,208.732,800.373,298.526
ENSG00000093000.18,2336.34,1657.55,711.1189999999998,1997.64,496.034
ENSG00000226328.6,415.425,249.951,309.363,327.454,188.68
ENSG00000230922.1,28.0,61.0,1.0,88.0,1.0
ENSG00000056487.15,107.0,151.0,81.0,219.0,85.0
ENSG00000188636.3,3196.0,1856.0,804.0,1936.0,740.0
ENSG00000279933.1,22.4759,37.9978,15.106,23.4287,8.32373
ENSG00000138964.16,128.85399999999998,254.626,161.944,234.0,163.753
ENSG00000279175.1,223.221,342.668,10.4869,262.499,9.98118
ENSG00000188677.14,865.303,1064.47,832.125,1238.62,511.666
ENSG00000100347.14,1112.9,754.63,655.2230000000002,914.211,405.166
ENSG00000223843.4,42.3679,44.8141,19.0,45.9608,14.0
ENSG00000186732.13,2639.0,113.0,2217.0,236.0,1514.0
